name,planet_mass,planet_radius,planet_discovery_method,discovery_date,planet_type,URL
BD+20_2457_c,12.47 Jupiters,1.1 x Jupiter,Radial Velocity,2009,Gas Giant,https://eyes.nasa.gov/apps/exo/#/planet/BD+20_2457_c
CoRoT-7_c,8.4 Earths,0.253 x Jupiter,Radial Velocity,2009,Neptune-like,https://eyes.nasa.gov/apps/exo/#/planet/CoRoT-7_c
GJ_1132_b,1.66 Earths,1.13 x Earth,Transit,2015,Super Earth,https://eyes.nasa.gov/apps/exo/#/planet/GJ_1132_b
GJ_1214_b,6.26125 Earths,0.254 x Jupiter,Transit,2009,Neptune-like,https://eyes.nasa.gov/apps/exo/#/planet/GJ_1214_b
GJ_3021_b,3.37 Jupiters,1.17 x Jupiter,Radial Velocity,2000,Gas Giant,https://eyes.nasa.gov/apps/exo/#/planet/GJ_3021_b
GJ_357_d,6.1 Earths,0.209 x Jupiter,Radial Velocity,2019,Neptune-like,https://eyes.nasa.gov/apps/exo/#/planet/GJ_357_d
GJ_436_b,22.1 Earths,0.372 x Jupiter,Radial Velocity,2004,Neptune-like,https://eyes.nasa.gov/apps/exo/#/planet/GJ_436_b
GJ_504_b,4 Jupiters,1.16 x Jupiter,Imaging,2013,Gas Giant,https://eyes.nasa.gov/apps/exo/#/planet/GJ_504_b
GJ_581_b,15.8 Earths,0.366 x Jupiter,Radial Velocity,2005,Neptune-like,https://eyes.nasa.gov/apps/exo/#/planet/GJ_581_b
GJ_581_c,5.5 Earths,2.21 x Earth,Radial Velocity,2007,Neptune-like,https://eyes.nasa.gov/apps/exo/#/planet/GJ_581_c
GJ_581_e,1.7 Earths,1.17 x Earth,Radial Velocity,2009,Super Earth,https://eyes.nasa.gov/apps/exo/#/planet/GJ_581_e
GJ_667_C_b,5.6 Earths,2.23 x Earth,Radial Velocity,2011,Neptune-like,https://eyes.nasa.gov/apps/exo/#/planet/GJ_667_C_b
GJ_667_C_c,3.8 Earths,1.77 x Earth,Radial Velocity,2011,Super Earth,https://eyes.nasa.gov/apps/exo/#/planet/GJ_667_C_c
GJ_832_c,5.4 Earths,2.18 x Earth,Radial Velocity,2014,Neptune-like,https://eyes.nasa.gov/apps/exo/#/planet/GJ_832_c
GJ_86_b,4.42 Jupiters,1.15 x Jupiter,Radial Velocity,1999,Gas Giant,https://eyes.nasa.gov/apps/exo/#/planet/GJ_86_b
GJ_876_b,2.2756 Jupiters,1.19 x Jupiter,Radial Velocity,1998,Gas Giant,https://eyes.nasa.gov/apps/exo/#/planet/GJ_876_b
GJ_876_d,6.83 Earths,0.224 x Jupiter,Radial Velocity,2005,Neptune-like,https://eyes.nasa.gov/apps/exo/#/planet/GJ_876_d
GJ_876_e,14.6 Earths,0.35 x Jupiter,Radial Velocity,2010,Neptune-like,https://eyes.nasa.gov/apps/exo/#/planet/GJ_876_e
HAT-P-1_b,0.525 Jupiters,1.319 x Jupiter,Transit,2006,Gas Giant,https://eyes.nasa.gov/apps/exo/#/planet/HAT-P-1_b
HAT-P-28_b,0.626 Jupiters,1.212 x Jupiter,Transit,2011,Gas Giant,https://eyes.nasa.gov/apps/exo/#/planet/HAT-P-28_b
HAT-P-29_b,0.88 Jupiters,1.17 x Jupiter,Transit,2011,Gas Giant,https://eyes.nasa.gov/apps/exo/#/planet/HAT-P-29_b
HD_10180_f,22.94733 Earths,0.456 x Jupiter,Radial Velocity,2010,Neptune-like,https://eyes.nasa.gov/apps/exo/#/planet/HD_10180_f
HD_125612_b,3.1 Jupiters,1.17 x Jupiter,Radial Velocity,2007,Gas Giant,https://eyes.nasa.gov/apps/exo/#/planet/HD_125612_b
HD_147018_b,2.12 Jupiters,1.19 x Jupiter,Radial Velocity,2009,Gas Giant,https://eyes.nasa.gov/apps/exo/#/planet/HD_147018_b
HD_147018_c,6.56 Jupiters,1.13 x Jupiter,Radial Velocity,2009,Gas Giant,https://eyes.nasa.gov/apps/exo/#/planet/HD_147018_c
HD_149026_b,0.38 Jupiters,0.74 x Jupiter,Radial Velocity,2005,Gas Giant,https://eyes.nasa.gov/apps/exo/#/planet/HD_149026_b
